picada,placa,codigo,comum,cap,dap,cc,hc,qf,g,volume,cientifico,familia,obs,categoria,coordx,coordy
1,1,369,Marfim,103,32.79,35,13,2,0.0844,0.7683,Agonandra brasiliensis Miers ex Benth,Opiliaceae,,Rara,587190.339,8896317.659
1,2,434,Ipê amarelo,180,57.3,55,16,1,0.2578,2.8877,"Tabebuia serratifolia (Vahl) G, Nicholson",Bignoniaceae,,APP,587223.105,8896300.193
1,3,157,Catuaba,140,44.56,45,17,1,0.156,1.8561,"Qualea tessmannii Mildbr,",Vochysiaceae,,Corte futuro,587246.574,8896332.492
1,4,64,Açacu,150,47.75,45,10,2,0.179,1.2533,"Hura crepitans L,",Euphorbiaceae,,Corte futuro,587299.17,8896319.695
1,5,255,Garapeira,243,77.35,75,16,2,0.4699,5.2628,Apuleia molaris Spruce ex Benth,Caesalpiniaceae,,Explorável,587472.118,8896320.372
1,6,434,Ipê amarelo,134,42.65,45,15,1,0.1429,1.5003,"Tabebuia serratifolia (Vahl) G, Nicholson",Bignoniaceae,,Corte futuro,587481.697,8896326.484
1,7,160,Caucho,226,71.94,75,12,2,0.4064,3.4142,"Castilla ulei Warb,",Moraceae,,Explorável,587487.978,8896332.586
1,8,434,Ipê amarelo,185,58.89,55,17,2,0.2724,3.241,"Tabebuia serratifolia (Vahl) G, Nicholson",Bignoniaceae,,Porta Semente,587485.655,8896341.109
1,9,255,Garapeira,154,49.02,45,16,2,0.1887,2.1137,Apuleia molaris Spruce ex Benth,Caesalpiniaceae,,Corte futuro,587490.549,8896354.842
1,10,255,Garapeira,210,66.85,65,15,2,0.3509,3.6848,Apuleia molaris Spruce ex Benth,Caesalpiniaceae,,Explorável,587543.856,8896328.457
1,11,170,Cerejeira,150,47.75,45,16,3,0.179,2.0054,"Amburana acreana (Ducke) A, C, Sm,",Fabaceae,,Corte futuro,587569.823,8896326.179
1,12,571,Castanharana branca,151,48.06,45,17,1,0.1814,2.1592,"Eschweilera juruensis R, Knuth",Lecythidaceae,,Corte futuro,587599.126,8896312.382
1,13,434,Ipê amarelo,154,49.02,45,15,1,0.1887,1.9816,"Tabebuia serratifolia (Vahl) G, Nicholson",Bignoniaceae,,Corte futuro,587607.771,8896308.292
1,14,610,Amarelão,131,41.7,45,14,3,0.1366,1.3383,Aspidosperma williamsii Duarte,Apocynaceae,,Corte futuro,587632.397,8896336.528
1,15,505,Seringueira,,,#VALUE!,,,,,"Hevea brasiliensis (Willd, ex A, Juss) M³ll, Arg",Euphorbiaceae,,Proibida,587647.848,8896331.514
1,16,9,Abiurana vermelha,223,70.98,75,13,3,0.3957,3.6012,"Pouteria torta (Mart,) Radlk, subsp, tuberculata (Sleumer) T, D, Penn",Sapotaceae,Oco,Porta Semente,587651.552,8896332.302
1,17,264,Guariúba,100,31.83,35,12,1,0.0796,0.6685,"Clarisia racemosa Ruiz & Pav,",Moraceae,,Rara,587656.219,8896335.757
1,18,505,Seringueira,,,#VALUE!,,,,,"Hevea brasiliensis (Willd, ex A, Juss) M³ll, Arg",Euphorbiaceae,,Proibida,587683.183,8896339.065
1,19,9,Abiurana vermelha,220,70.03,75,15,1,0.3852,4.0441,"Pouteria torta (Mart,) Radlk, subsp, tuberculata (Sleumer) T, D, Penn",Sapotaceae,,Explorável,587690.848,8896324.959
1,20,264,Guariúba,178,56.66,55,14,1,0.2521,2.4709,"Clarisia racemosa Ruiz & Pav,",Moraceae,,Rara,587680.751,8896355.393
1,21,170,Cerejeira,150,47.75,45,11,3,0.179,1.3787,"Amburana acreana (Ducke) A, C, Sm,",Fabaceae,,Corte futuro,587715.996,8896333.017
1,22,263,Guaribeiro,194,61.75,65,17,1,0.2995,3.564,"Phyllocarpus riedelii Tul,",Caesalpiniaceae,,Explorável,587728.058,8896351.636
1,23,246,Figueira,275,87.54,85,13,1,0.6018,5.4764,"Ficus maxima Mill,",Moraceae,,Explorável,587776.775,8896345.938
1,24,61,Aroeira,273,86.9,85,18,1,0.5931,7.4728,Astronium lecointei Ducke,Anacardiaceae,,Explorável,587799.116,8896344.438
1,25,467,Pinho cuiabano,207,65.89,65,13,1,0.341,3.1029,"Schizolobium amazonicum Huber ex Ducke,",Caesalpiniaceae,,Explorável,587821.593,8896365.302
1,26,467,Pinho cuiabano,176,56.02,55,16,3,0.2465,2.7608,"Schizolobium amazonicum Huber ex Ducke,",Caesalpiniaceae,,Porta Semente,587855.77,8896338.443
1,27,536,Tauari,139,44.25,45,17,1,0.1538,1.8296,"Couratari macrosperma A, C, Sm,",Lecythidaceae,,Rara,587939.129,8896338.76
1,28,434,Ipê amarelo,200,63.66,65,18,2,0.3183,4.0107,"Tabebuia serratifolia (Vahl) G, Nicholson",Bignoniaceae,,Porta Semente,587960.037,8896333.491
1,29,246,Figueira,188,59.84,55,14,1,0.2813,2.7563,"Ficus maxima Mill,",Moraceae,,Explorável,588005.705,8896362.492
