Nome científico;Nome vulgar
Albizia pedicellaris (DC.) L.Rico;"Ingá-de-porco, favinha"
Alexa grandiflora Ducke;Sucupira-pepino
"Allantoma decandra (Ducke) S.A. Mori, Ya Y.Huang & Prance";Tauari-vermelho
Allantoma lineata (Mart. & O. Berg) Miers;Ripeiro-cheru
Amburana acreana (Ducke) A.C. Sm.;Cerejeira
Amburana cearensis (Allemão) A.C. Sm.;Cerejeira
Anacardium spruceanum Benth. ex Engl.;Caju-açú
Anadenanthera colubrina (Vell.) Brenan;Angico-vermelho
Apeiba echinata Gaertn.;Pente-de-macaco
Apuleia leiocarpa (Vogel) J.F. Macbr.;Garapeira
Arapatiella psilophylla (Harms) R.S. Cowan;Arapati
Araucaria angustifolia (Bertol.) Kuntze;Pinheiro-do-paraná
Aspidosperma desmanthum Benth. ex Müll. Arg.;Araracanga
Aspidosperma dispermum Müll. Arg.;Peroba-osso
Aspidosperma macrocarpon Mart.;Peroba-de-mico
Aspidosperma polyneuron Müll. Arg.;Peroba-rosa
Aspidosperma pyrifolium Mart.;Peroba-branca
Astronium gracile Engl.;Guaritá
Astronium graveolens Jacq.;Aroeira-do-campo
Astronium lecointei Ducke;Muiracatiara-rajada
Astronium ulei Mattick;Muiracatiara
Bagassa guianensis Aubl.;Amar
Balfourodendron riedelianum (Engl.) Engl.;Pau-marfim
Bertholletia excelsa Bonpl.;Castanheira
Bixa arborea Huber;Urucu-da-mata
Bowdichia nitida Spruce ex Benth.;Sucupira-preta
Bowdichia virgilioides Kunth;Sucupira-do-cerrado
Brosimum acutifolium Huber;Mururé
Brosimum parinarioides Ducke;Amapá-amargo
Brosimum potabile Ducke;Amapá-doce
Brosimum rubescens Taub.;Muirapiranga
Buchenavia grandis Ducke;Mirindiba-grande
Caesalpinia echinata Lam.;Pau-brasil
Calophyllum brasiliense Cambess.;Jacareúba
Caraipa densifolia Mart.;Camaçari
Carapa guianensis Aubl.;Andiroba
Cariniana legalis (Mart.) Kuntze;Jequetibá-branco
Cariniana micrantha Ducke;Jequetibá-rosa
Caryocar glabrum (Aubl.) Pers.;Cabeleira
Caryocar villosum (Aubl.) Pers.;Pequiá-verdadeiro
Cedrela fissilis Vell.;Cedro-vermelho
Cedrela odorata L.;Cedro-rosa
Cedrelinga cateniformis (Ducke) Ducke;Cedroarana
Ceiba pentandra (L.) Gaertn.;Sumaúma
Centrolobium robustum (Vell.) Mart. ex Benth.;Araribá-rosa
Chrysophyllum lucentifolium subsp. pachycarpum Pires & T.D. Penn.;Goiabão
Clarisia racemosa Ruiz & Pav.;Guariúba
Commiphora leptophloeos (Mart.) J.B. Gillett;Amburama-de-cambão
Copaifera duckei Dwyer;Copaíba
Copaifera reticulata Ducke;Copaíba-mari-mari
Cordia bicolor A. DC.;Freijó
Cordia goeldiana Huber;Freijó-cinza
Cordia oncocalyx Allemão;Pau-branco-preto
Cordia sagotii I.M. Johnst.;Freijó
Couratari guianensis Aubl.;Tauari-claro
Couratari macrosperma A.C. Sm.;Tauari
Couratari multiflora (Sm.) Eyma;Tauari
Couratari oblongifolia Ducke & R. Knuth;Tauari-branco
Couratari stellata A.C.Sm.;Tauari-duro
Curatella americana L.;Lixeira 
Dalbergia nigra (Vell.) Allemão ex Benth;Jacarandá-da-bahia
Diclinanona calycina (Diels) R.E. Fr.;Envira-preta
Dinizia excelsa Ducke;Angelim-vermelho
Diplotropis purpurea (Rich.) Amshoff;Sucupira-da-terra-firme
Diplotropis racemosa (Hoehne) Amshoff;Sucupira-parda
Dipteryx alata Vogel;Baru-do-cerrado
Dipteryx magnifica (Ducke) Ducke;Cumaru-rosa
Dipteryx odorata (Aubl.) Willd.;Cumaru-amarelo
Dipteryx polyphylla Huber;Cumaru-roxo
Enterolobium maximum Ducke;Faveira-tamboril
Enterolobium schomburgkii (Benth.) Benth.;Faveira-orelha-de-negro
